Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Spider-Man: Brand New Day,"$2,408,262,495","$923,262,495",38.3%,"$1,485,000,000",61.7%
2,The Odyssey,"$1,631,636,965","$589,076,965",36.1%,"$1,042,560,000",63.9%
3,Toy Story 5,"$1,137,578,985","$479,966,985",42.2%,"$657,612,000",57.8%
4,Michael,"$1,022,317,988","$372,303,388",36.4%,"$650,014,600",63.6%
5,The Super Mario Galaxy Movie,"$1,012,312,090","$429,814,610",42.5%,"$582,497,480",57.5%
6,The Devil Wears Prada 2,"$692,817,651","$220,556,651",31.8%,"$472,261,000",68.2%
7,Project Hail Mary,"$684,315,518","$344,050,007",50.3%,"$340,265,511",49.7%
8,Pegasus 3,"$656,459,523","$1,374,946",0.2%,"$655,084,577",99.8%
9,Minions & Monsters,"$518,147,515","$183,162,515",35.3%,"$334,985,000",64.7%
10,Obsession,"$509,876,715","$263,451,715",51.7%,"$246,425,000",48.3%
11,Backrooms,"$394,122,453","$197,523,513",50.1%,"$196,598,940",49.9%
12,Hoppers,"$389,685,783","$166,010,783",42.6%,"$223,675,000",57.4%
13,Star Wars: The Mandalorian and Grogu,"$345,398,060","$177,730,060",51.5%,"$167,668,000",48.5%
14,Moana,"$315,498,148","$126,203,148",40%,"$189,295,000",60%
15,Dear You,"$289,773,416",-,-,"$289,773,416",100%
16,Once Upon a Time in the Middle East,"$289,200,000",-,-,"$289,200,000",100%
17,Kung Fu Soccer,"$280,742,076",-,-,"$280,742,076",100%
18,All Wishes Come True!,"$271,435,465","$713,708",0.3%,"$270,721,757",99.7%
19,Wuthering Heights,"$241,701,072","$84,001,072",34.8%,"$157,700,000",65.2%
20,Disclosure Day,"$241,261,491","$116,636,645",48.3%,"$124,624,846",51.7%
21,Scary Movie,"$231,886,052","$108,277,762",46.7%,"$123,608,290",53.3%
22,Blades of the Guardians,"$215,363,913","$1,606,672",0.7%,"$213,757,241",99.3%
