Rank,Release Group,Worldwide,Domestic,%,Foreign,%
23,Scream 7,"$207,999,405","$121,935,967",58.6%,"$86,063,438",41.4%
24,Scare Out,"$200,371,064",-,-,"$200,371,064",100%
25,GOAT,"$195,356,870","$103,316,898",52.9%,"$92,039,972",47.1%
26,Chiikawa the Movie: The Secret of Mermaid Island,"$159,000,000",-,-,"$159,000,000",100%
27,Dhurandhar: The Revenge,"$152,900,759","$28,100,759",18.4%,"$124,800,000",81.6%
28,Boonie Bears: The Hidden Protector,"$139,300,000",-,-,"$139,300,000",100%
29,Insidious: Out of the Further,"$139,189,759","$55,689,759",40%,"$83,500,000",60%
30,PAW Patrol: The Dino Movie,"$138,327,000","$49,627,000",35.9%,"$88,700,000",64.1%
31,The Sheep Detectives,"$132,804,068","$66,078,506",49.8%,"$66,725,562",50.2%
32,The Drama,"$132,467,533","$48,062,006",36.3%,"$84,405,527",63.7%
33,Mortal Kombat II,"$129,470,110","$79,770,110",61.6%,"$49,700,000",38.4%
34,Supergirl,"$126,366,532","$72,366,532",57.3%,"$54,000,000",42.7%
35,The King’s Warden,"$123,083,015","$3,574,531",2.9%,"$119,508,484",97.1%
36,The End of Oak Street,"$115,530,511","$51,730,511",44.8%,"$63,800,000",55.2%
37,Masters of the Universe,"$113,787,587","$64,830,245",57%,"$48,957,342",43%
38,Detective Conan: Fallen Angel of the Highway,"$97,059,751",-,-,"$97,059,751",100%
39,Send Help,"$94,041,481","$64,734,795",68.8%,"$29,306,686",31.2%
40,Lee Cronin's The Mummy,"$90,552,113","$29,152,113",32.2%,"$61,400,000",67.8%
41,Reminders of Him,"$89,160,881","$48,559,430",54.5%,"$40,601,451",45.5%
42,Vanishing Point,"$81,200,457",-,-,"$81,200,457",100%
43,Crime 101,"$72,900,246","$36,588,336",50.2%,"$36,311,910",49.8%
44,Evil Dead Burn,"$72,326,382","$32,237,058",44.6%,"$40,089,324",55.4%
45,V,"$59,600,000",-,-,"$59,600,000",100%
46,28 Years Later: The Bone Temple,"$58,527,279","$25,147,583",43%,"$33,379,696",57%
47,The Invite,"$55,605,536","$25,905,536",46.6%,"$29,700,000",53.4%
48,Mercy,"$54,709,856","$24,390,303",44.6%,"$30,319,553",55.4%
49,Shelter,"$54,603,128","$12,805,541",23.5%,"$41,797,587",76.5%
50,Marsupilami,"$52,695,448",-,-,"$52,695,448",100%
51,Colony,"$50,195,010","$1,008,978",2%,"$49,186,032",98%
52,Iron Lung,"$50,036,487","$40,851,941",81.6%,"$9,184,546",18.4%
53,Return to Silent Hill,"$47,533,175","$5,544,971",11.7%,"$41,988,204",88.3%
54,Young Washington,"$47,132,391","$47,066,488",99.9%,"$65,903",0.1%
55,Cold War 1994,"$46,907,049","$361,156",0.8%,"$46,545,893",99.2%
56,Coyote vs. Acme,"$45,691,999","$38,375,357",84%,"$7,316,642",16%
57,Greenland 2: Migration,"$45,191,228","$17,770,308",39.3%,"$27,420,920",60.7%
58,Ready or Not 2: Here I Come,"$43,088,054","$22,986,054",53.3%,"$20,102,000",46.7%
59,The Furious,"$41,764,290","$6,502,610",15.6%,"$35,261,680",84.4%
60,Kingdom 5,"$39,920,112",-,-,"$39,920,112",100%
61,Primate,"$39,074,453","$25,635,665",65.6%,"$13,438,788",34.4%
62,Crossing,"$38,337,181","$37,181",<0.1%,"$38,300,000",99.9%
63,Harry Potter and the Deathly Hallows: Part 2 2026 Re-release,"$37,765,357",-,-,"$37,765,357",100%
64,The Amazing Digital Circus: The Last Act,"$36,405,571","$23,421,793",64.3%,"$12,983,778",35.7%
65,Hope,"$35,293,690",-,-,"$35,293,690",100%
66,The Magic Faraway Tree,"$34,808,328","$2,292,989",6.6%,"$32,515,339",93.4%
67,The Dog Stars,"$33,137,035","$13,837,035",41.8%,"$19,300,000",58.2%
68,Torrente for President,"$32,787,843",-,-,"$32,787,843",100%
69,Passenger,"$31,620,508","$18,041,122",57.1%,"$13,579,386",42.9%
70,A Werewolf Boy,"$30,940,545",-,-,"$30,940,545",100%
71,Harry Potter and the Deathly Hallows: Part 1 2026 Re-release,"$30,354,696",-,-,"$30,354,696",100%
72,It's OK,"$28,080,000",-,-,"$28,080,000",100%
73,Jackass: Best and Last,"$27,830,990","$18,273,185",65.7%,"$9,557,805",34.3%
74,In the Grey,"$27,782,325","$5,723,890",20.6%,"$22,058,435",79.4%
75,Until We Meet Again,"$27,679,394",-,-,"$27,679,394",100%
76,The Tale of Tsar Saltan,"$27,565,988",-,-,"$27,565,988",100%
77,Doraemon: Nobita and the New Castle of the Undersea Devil,"$27,322,038",-,-,"$27,322,038",100%
78,Billie Eilish: Hit Me Hard and Soft,"$26,721,893","$9,901,485",37.1%,"$16,820,408",62.9%
79,Solo Mio,"$26,434,702","$25,736,278",97.4%,"$698,424",2.6%
80,Hokum,"$25,023,390","$17,000,014",67.9%,"$8,023,376",32.1%
81,Mutiny,"$24,260,423","$15,510,784",63.9%,"$8,749,639",36.1%
82,The Bride!,"$23,944,025","$12,744,025",53.2%,"$11,200,000",46.8%
83,Stray Kids: The Dominate Experience,"$23,465,818","$7,232,818",30.8%,"$16,233,000",69.2%
84,Epic: Elvis Presley in Concert,"$23,463,883","$13,571,883",57.8%,"$9,892,000",42.2%
85,One Night Only,"$23,116,280","$11,506,280",49.8%,"$11,610,000",50.2%
86,"You, Me & Tuscany","$22,456,485","$18,723,685",83.4%,"$3,732,800",16.6%
87,Salmokji: Whispering Water,"$22,032,184",-,-,"$22,032,184",100%
88,Extrawurst,"$21,927,663",-,-,"$21,927,663",100%
89,How to Make a Killing,"$21,655,441","$7,851,600",36.3%,"$13,803,841",63.7%
90,Undertone,"$21,555,603","$20,001,151",92.8%,"$1,554,452",7.2%
91,A Part of Me,"$21,200,000",-,-,"$21,200,000",100%
92,Hadestown: The Musical,"$20,728,068","$20,728,068",100%,-,-
93,The Breadwinner,"$20,247,080","$20,247,080",100%,-,-
94,Pressure,"$19,734,014","$15,569,855",78.9%,"$4,164,159",21.1%
95,Keep Real,"$19,500,000",-,-,"$19,500,000",100%
96,They Will Kill You,"$19,382,152","$10,882,152",56.1%,"$8,500,000",43.9%
97,De Gaulle: Résistance,"$19,342,491",-,-,"$19,342,491",100%
98,I Can Only Imagine 2,"$18,741,530","$18,588,615",99.2%,"$152,915",0.8%
99,Mobile Suit Gundam Hathaway: The Sorcery of Nymph Circe,"$18,420,625","$1,165,491",6.3%,"$17,255,134",93.7%
100,Bunny!!,"$17,475,856","$669,093",3.8%,"$16,806,763",96.2%
101,Guru,"$16,832,606",-,-,"$16,832,606",100%
102,Melania,"$16,661,439","$16,357,453",98.2%,"$303,986",1.8%
103,Sakamoto Days,"$16,546,721",-,-,"$16,546,721",100%
104,Eiga Kureyon Shin-chan Kikikaikai! Ora no Yôkai Bake-shon,"$16,379,171",-,-,"$16,379,171",100%
105,I Know Who You Are,"$16,364,188",-,-,"$16,364,188",100%
106,Tony,"$16,118,166","$13,846,159",85.9%,"$2,272,007",14.1%
107,Cosmic Princess Kaguya!,"$15,838,629",-,-,"$15,838,629",100%
108,Buddy,"$15,822,917","$15,822,917",100%,-,-
109,Just an Illusion,"$15,742,625",-,-,"$15,742,625",100%
110,Harry Potter and the Philosopher's Stone 2026 Re-release - 25th Anniversary,"$15,622,015",-,-,"$15,622,015",100%
111,The Caged Butterfly,"$15,210,000",-,-,"$15,210,000",100%
112,Top Gun/Top Gun: Maverick 2026 Re-release (Top Gun 40th Anniversary),"$15,128,326","$6,528,326",43.2%,"$8,600,000",56.8%
113,Hypnosismic -Division Rap Battle- Rule the Stage -Battle of Pride 2023,"$15,069,212","$58,276",0.4%,"$15,010,936",99.6%
114,To Your Island,"$15,000,000",-,-,"$15,000,000",100%
115,The Three Investigators: Isle of Death,"$14,911,324",-,-,"$14,911,324",100%
116,Kyojo: Requiem,"$14,585,945",-,-,"$14,585,945",100%
117,Night King,"$14,566,269",-,-,"$14,566,269",100%
118,Tuner,"$14,508,137","$4,511,186",31.1%,"$9,996,951",68.9%
119,"Ach, diese Lücke, diese entsetzliche Lücke","$14,134,508",-,-,"$14,134,508",100%
120,Steckerlfischfiasko,"$14,102,150",-,-,"$14,102,150",100%
121,Kholop 3,"$14,080,256",-,-,"$14,080,256",100%
122,Svadba,"$13,817,137",-,-,"$13,817,137",100%
123,De Gaulle: Liberté,"$13,800,702",-,-,"$13,800,702",100%
124,Humint,"$13,207,600",-,-,"$13,207,600",100%
125,Awarapan 2,"$12,800,000",-,-,"$12,800,000",100%
126,Little Brownie Kuzya 2,"$12,451,384",-,-,"$12,451,384",100%
127,Vishwanath and Sons,"$12,334,000","$1,634,000",13.2%,"$10,700,000",86.8%
128,Your Heart Will Be Broken,"$12,318,524",-,-,"$12,318,524",100%
129,The Three Kingdoms Part 1: The Battle for Luoyang,"$12,200,000",-,-,"$12,200,000",100%
130,Woodwalkers 2,"$11,875,930",-,-,"$11,875,930",100%
131,The Eyes,"$11,249,071",-,-,"$11,249,071",100%
132,The Strangers: Chapter 3,"$11,158,087","$8,560,986",76.7%,"$2,597,101",23.3%
133,Now I Met Her,"$10,950,000",-,-,"$10,950,000",100%
134,Spa Weekend,"$10,669,039","$6,722,972",63%,"$3,946,067",37%
135,Be Yourself,"$10,600,000",-,-,"$10,600,000",100%
136,Children of the Resistance,"$10,518,093",-,-,"$10,518,093",100%
137,Posledniy bogatyr. Kolobok,"$10,322,518",-,-,"$10,322,518",100%
138,Being Towards Death,"$10,203,144",-,-,"$10,203,144",100%
139,"Good Luck, Have Fun, Don't Die","$9,952,131","$8,431,443",84.7%,"$1,520,688",15.3%
140,Gintama: Yoshiwara in Flames,"$9,888,965",-,-,"$9,888,965",100%
141,Santiago: The Camino Therapy,"$9,832,145",-,-,"$9,832,145",100%
142,I Love Boosters,"$9,743,067","$9,743,067",100%,-,-
143,Cars 2026 Re-release,"$9,700,000","$7,800,000",80.4%,"$1,900,000",19.6%
144,The Money Maker,"$9,630,466",-,-,"$9,630,466",100%
145,By Any Means,"$9,300,000","$9,300,000",100%,-,-
146,Wild Sing,"$9,025,511",-,-,"$9,025,511",100%
147,BTS World Tour 'Arirang' in Busan: Live Viewing,"$8,981,421","$3,800,000",42.3%,"$5,181,421",57.7%
148,The Death of Robin Hood,"$8,974,826","$5,355,164",59.7%,"$3,619,662",40.3%
149,Golden Kamuy: Assault on Abashiri Prison,"$8,971,729",-,-,"$8,971,729",100%
150,The Lord of the Rings: The Return of the King 2026 Re-release,"$8,741,926","$3,971,340",45.4%,"$4,748,108",54.3%
151,Leviticus,"$8,622,291","$7,215,533",83.7%,"$1,406,758",16.3%
152,The Wizard of the Kremlin,"$8,582,129","$652,300",7.6%,"$7,929,829",92.4%
153,The Decisive Moment,"$8,400,000",-,-,"$8,400,000",100%
154,The Things Left Unspoken,"$8,187,146",-,-,"$8,187,146",100%
155,A Great Awakening,"$8,149,028","$8,149,028",100%,-,-
156,Drishyam 3,"$8,102,169","$1,650,583",20.4%,"$6,451,586",79.6%
157,Deep Water,"$8,026,799","$4,346,226",54.1%,"$3,680,573",45.9%
158,Checker Tobi 3: Die heimliche Herrscherin der Erde,"$8,017,475",-,-,"$8,017,475",100%
159,Teenage Sex and Death at Camp Miasma,"$7,912,056","$6,215,713",78.6%,"$1,696,343",21.4%
160,Super Troopers 3,"$7,776,667","$7,433,725",95.6%,"$342,942",4.4%
161,LOL 2.0,"$7,753,402",-,-,"$7,753,402",100%
162,Game Start,"$7,750,000",-,-,"$7,750,000",100%
163,Dear Parents,"$7,628,446",-,-,"$7,628,446",100%
164,The Lord of the Rings: The Fellowship of the Ring 2026 Re-release,"$7,481,290","$5,940,331",79.4%,"$1,486,329",19.9%
165,The Rays and Shadows,"$7,440,895",-,-,"$7,440,895",100%
166,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,"$7,400,334","$1,423,753",19.2%,"$5,976,581",80.8%
167,The Boy Who Counted Cars,"$7,400,000",-,-,"$7,400,000",100%
168,Horst Schlämmer Is Looking for Happiness,"$7,376,329",-,-,"$7,376,329",100%
169,Good Vibes Only,"$7,328,990",-,-,"$7,328,990",100%
170,Bethlehem Kudumba Unit,"$7,211,749","$490,184",6.8%,"$6,721,565",93.2%
171,The Samurai and the Prisoner,"$7,029,566","$736,356",10.5%,"$6,293,210",89.5%
172,Katseye: Wild Hearts,"$6,955,267","$4,629,744",66.6%,"$2,325,523",33.4%
173,BTS WORLD TOUR 'ARIRANG' in GOYANG: LIVE VIEWING,"$6,936,152","$2,440,000",35.2%,"$4,496,152",64.8%
174,Yetimhane: Sahipsiz Cinler,"$6,909,959",-,-,"$6,909,959",100%
175,Kiki's Delivery Service 2026 Re-release,"$6,633,379","$2,697,212",40.7%,"$3,936,167",59.3%
176,Kommersant,"$6,573,805",-,-,"$6,573,805",100%
177,Animal Farm,"$6,503,698","$5,588,982",85.9%,"$914,716",14.1%
178,Aida: The Movie,"$6,226,884","$217,000",3.5%,"$6,009,884",96.5%
179,Blue Lock,"$6,111,154",-,-,"$6,111,154",100%
180,Normal,"$6,095,691","$5,071,290",83.2%,"$1,024,401",16.8%
181,Bitter Christmas,"$6,073,939",-,-,"$6,073,939",100%
182,The Secret World of Arrietty 2026 Re-release,"$5,943,842","$280,469",4.7%,"$5,663,373",95.3%
183,Ice Cream Man,"$5,943,163","$2,821,000",47.5%,"$3,122,163",52.5%
184,Ooh La La 2,"$5,936,781",-,-,"$5,936,781",100%
185,The American Dream,"$5,884,710",-,-,"$5,884,710",100%
186,Puella Magi Madoka Magica the Movie -Walpurgisnacht Rising-,"$5,868,997",-,-,"$5,868,997",100%
187,Twenty One Pilots: More Than We Ever Imagined,"$5,837,953","$4,300,000",73.7%,"$1,537,953",26.3%
188,The Lord of the Rings: The Two Towers 2026 Re-release,"$5,827,852","$4,093,642",70.2%,"$1,734,210",29.8%
189,One Last Love Letter,"$5,799,083",-,-,"$5,799,083",100%
190,Bendito Corazon,"$5,796,546","$2,997,508",51.7%,"$2,799,038",48.3%
191,Vaazha II: Biopic of a Billion Bros,"$5,709,987","$301,888",5.3%,"$5,408,099",94.7%
192,Tad and the Magic Lamp,"$5,706,351",-,-,"$5,706,351",100%
193,Teenieping: Legend of the Whale Heartstone,"$5,700,000",-,-,"$5,700,000",100%
194,Fuze,"$5,631,334","$1,486,030",26.4%,"$4,145,304",73.6%
195,No One Is Closer Than Me,"$5,500,000",-,-,"$5,500,000",100%
196,Forsaken,"$5,473,257",-,-,"$5,473,257",100%
197,The Pout-Pout Fish,"$5,424,733","$2,925,502",53.9%,"$2,499,231",46.1%
198,D.I.S.C.O.,"$5,422,937",-,-,"$5,422,937",100%
199,The Fast and the Furious 2026 Re-release,"$5,346,730","$4,427,900",82.8%,"$918,830",17.2%
200,Nirvanna the Band the Show the Movie,"$5,289,162","$4,044,418",76.5%,"$1,244,744",23.5%
