Rank,Release Group,Worldwide,Domestic,%,Foreign,%
167,Saiyaara,"$12,903,760","$3,359,480",26%,"$9,544,280",74%
168,The Three Investigators and the Carpathian Dog,"$12,880,508",-,-,"$12,880,508",100%
169,Noise,"$12,616,631",-,-,"$12,616,631",100%
170,How to Make a Killing,"$12,599,911",-,-,"$12,599,911",100%
171,The Chosen: Woes/The Chosen: The Same Coin/The Chosen: Because of Me,"$12,536,179","$12,372,228",98.7%,"$163,951",1.3%
172,Once Upon My Mother,"$12,519,471",-,-,"$12,519,471",100%
173,A Mouse Hunt for Christmas,"$12,488,094",-,-,"$12,488,094",100%
174,The Chosen: Reunions/The Chosen: The Upper Room Part I/The Chosen: The Upper Room Part II,"$12,456,592","$11,742,410",94.3%,"$714,182",5.7%
175,Die My Love,"$12,216,636","$5,515,263",45.1%,"$6,701,373",54.9%
176,Dark Nuns,"$12,140,335","$103,433",0.9%,"$12,036,902",99.1%
177,La Grazia,"$12,047,219","$132,311",1.1%,"$11,914,908",98.9%
178,Uta No Prince-Sama: Maji Love Taboo Night Xxxx,"$11,998,274",-,-,"$11,998,274",100%
179,Trillion Game,"$11,766,075",-,-,"$11,766,075",100%
180,Sarah's Oil,"$11,675,627","$11,675,627",100%,-,-
181,Papiny dochki. Mama vernulas,"$11,665,320",-,-,"$11,665,320",100%
182,Dollhouse,"$11,567,855",-,-,"$11,567,855",100%
183,Toy Story 2025 Re-release,"$11,427,639","$6,721,383",58.8%,"$4,706,256",41.2%
184,About a Place in the Kinki Region,"$11,413,063",-,-,"$11,413,063",100%
185,Dog 51,"$11,349,143",-,-,"$11,349,143",100%
186,Sirat,"$11,306,381","$34,057",0.3%,"$11,272,324",99.7%
187,Presence,"$11,069,405","$6,900,044",62.3%,"$4,169,361",37.7%
188,Whispers in the Woods,"$10,750,617",-,-,"$10,750,617",100%
189,Princess Mononoke 2025 Re-release,"$10,587,714",-,-,"$10,585,368",100%
190,It's Okay!,"$10,582,896",-,-,"$10,582,896",100%
191,A PAW Patrol Christmas,"$10,555,462",-,-,"$10,555,462",100%
192,To the Village to Grandpa,"$10,549,632",-,-,"$10,549,632",100%
193,It Was Just an Accident,"$10,486,817","$1,773,664",16.9%,"$8,713,153",83.1%
194,Eiga Last Man: First Love,"$10,377,724",-,-,"$10,377,724",100%
195,A Private Life,"$10,375,694","$1,421,315",13.7%,"$8,954,379",86.3%
196,Oi vita mia,"$10,322,191",-,-,"$10,322,191",100%
197,Sketch,"$10,253,737","$8,129,808",79.3%,"$2,123,929",20.7%
198,The Alto Knights,"$10,225,566","$6,125,566",59.9%,"$4,100,000",40.1%
199,Colours of Time,"$10,205,568",-,-,"$10,205,568",100%
200,Yolki 12,"$10,181,298",-,-,"$10,181,298",100%
